Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
MOOCs in universities: Intelligent model for delivering online learning content,G. Sammour; A. Al-Zoubi; A. Gladun; K. Khala; J. Schreurs,"Princess Sumaya University of Technology (PSUT), Amman, Jordan; Princess Sumaya University of Technology (PSUT), Amman, Jordan; International Research and Training Centre of Information Technoogies, Systems, NASU (IRTC), Kiev, Ukraine; International Research and Training Centre of Information Technoogies, Systems, NASU (IRTC), Kiev, Ukraine; Hasselt University, Belgium",2015 IEEE Seventh International Conference on Intelligent Computing and Information Systems (ICICIS),04-Feb-16,2015,,,167,171,"A massive open online course (MOOC) is a model for delivering learning content online to any person who wants to take a course, with no conditions on attendance. Unlike traditional courses, MOOCs require additional skills, provided by videographers, instructional designers, IT specialists and platform specialists. Over the past few years several Universities facilitated partnership with MOOCs providers and are building MOOC courses, to serve as e-learning versions of their courses. Despite all the advantages offered by the MOOC courses, the current statistics show that only a very limited number of registered learners are completing the course. And the vast majority are stopping learning at an early stage. The main reason can be found in the lack of motivation of the students to pass the exams to become a certificate, because universities do not accept the certificates for credits. The aim of this paper is to study the readiness of students to take MOOC courses on one hand and the acceptance of MOOC courses in Universities. A study is conducted on two Universities, Hasselt University, Belgium and Princess Sumaya University for Technology, Jordan. The results of the study are promising, as they suggest that such virtual study programs are accepted in both Universities. However, professors in both Universities elucidate concerns on accepting the equivalence of the MOOC courses to their own courses.",,978-1-5090-1950-2,10.1109/IntelCIS.2015.7397216,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7397216,MOOC;adoption of MOOCs;university study programs;completion of MOOCs;intelligent e-Learning,Pain;Publishing,computer aided instruction;educational courses;educational institutions;information technology,MOOC;universities;intelligent model;online learning content;massive open online course;IT specialists;platform specialists;Hasselt University;Princess Sumaya University for Technology,,4,,14,,04-Feb-16,,,IEEE,IEEE Conferences
Took a MOOC. Got a Certificate. What now?,C. John; T. Staubitz; C. Meinel,"Hasso Plattner Institute,Internet Technologies and Systems,Potsdam,Germany; Hasso Plattner Institute,Internet Technologies and Systems,Potsdam,Germany; Hasso Plattner Institute,Internet Technologies and Systems,Potsdam,Germany",2019 IEEE Frontiers in Education Conference (FIE),12-Mar-20,2019,,,1,9,"This Research to Practice Full Paper presents the results of a survey among the participants of our MOOC platform about the benefits of what they have learned in our courses and the benefits of the certificates that they have earned for their daily life. We often hear about the high dropout rates in Massive Open Online Courses (MOOCs). On the other hand, there is a lot of movement towards micro-credentials, online master's degrees based on MOOCs, and formal MOOC degrees. However, what is the classic MOOC clientele actually doing with their certificates? What are the reasons why successful MOOC learners put a lot of time and effort in exams and exercises? Do employers accept these certificates in application portfolios? Do they allow their employees to participate in a MOOC during their working hours? Do they pay for the certificates? Are there any differences concerning gender because women are still in the minority in science, technology, engineering and mathematics (STEM) and their career paths often hit a plateau? These questions have been on our mind since we started offering courses on our MOOC platform in 2012. We have had anecdotal evidence, for example, that a participant was helped to get a new job with a certificate from one of our courses-yet this is ultimately just hearsay. Therefore, to find out what is really going on we conducted a survey among the 187,000 registered users of our platform.",2377-634X,978-1-7281-1746-1,10.1109/FIE43999.2019.9028698,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028698,MOOC;Certificates;Micro-credentials;Gender;Survey;STEM,Engineering profession;Internet;Europe;STEM;Qualifications;Entrepreneurship,computer aided instruction;educational courses,MOOC platform;certificate;high dropout rates;massive open online courses;STEM,,1,,29,,12-Mar-20,,,IEEE,IEEE Conferences
A Learning Analytics Tool for Predictive Modeling of Dropout and Certificate Acquisition on MOOCs for Professional Learning,R. Cobos; L. Olmos,"Department of Computer Science Engineering, Universidad Autónoma de Madrid, Madrid, Spain; Department of Computer Science Engineering, Universidad Autónoma de Madrid, Madrid, Spain",2018 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),13-Jan-19,2018,,,1533,1537,"Massive Open Online Courses (MOOCs) appeared as a proper way to provide lifelong learning for potential learners of both professional and academic settings. Industry leaders can benefit from these courses because they foster the professional development of their employees in their industry. Despite these benefits, these online courses continue to register a high dropout rate and a vast number of their learners do not acquire the certificate provided at the completion of the course. This article proposes a predictive modeling tool with several Machine Learning algorithms (for generating Predictive Models) and feature engineering in MOOCs data integrated to contribute research to this specific issue. The proposed tool predicts two situations: which learners are likely to leave the course (dropout) and which learners are expected to pass the course (certificate acquisition). The tool was tested in fifteen deliveries of seven MOOCs. Initial results provide interesting information, for instance, that the accuracy of predicting certificate acquisition is higher than the precision of predicting dropout for all algorithms.",2157-362X,978-1-5386-6786-6,10.1109/IEEM.2018.8607541,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8607541,Educational Data Mining;learning Analytics;lifelong Learning;machine Learning;MOOC;professional Learning,Tools;Predictive models;Prediction algorithms;Input variables;Graphics;Data mining;Machine learning algorithms,certification;computer aided instruction;continuing professional development;distance learning;educational courses;learning (artificial intelligence);personnel,professional development;MOOCs data;certificate acquisition;lifelong learning;dropout rate;machine learning algorithms;learning analytics tool;professional learning;massive open online courses;dropout predictive modeling tool,,1,,14,,13-Jan-19,,,IEEE,IEEE Conferences
Zipf's law in MOOC learning behavior,C. Men; X. Li; Z. Du; J. Liu; M. Li; X. Zhang,"Graduate School at Shenzhen, Tsinghua University, Shenzhen, China; Graduate School at Shenzhen, Tsinghua University, Shenzhen, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; School of Computing and Information Sciences, Florida International University, Miami, FL, USA; Institute of Education, Tsinghua University, Beijing, China; Institute of Education, Tsinghua University, Beijing, China",2017 IEEE 2nd International Conference on Big Data Analysis (ICBDA),23-Oct-17,2017,,,640,644,"Learners participating in Massive Open Online Courses (MOOC) have a wide range of backgrounds and motivations. Many MOOC learners sign up the courses to take a brief look; only a few go through the entire content, and even fewer are able to eventually obtain a certificate. We discovered this phenomenon after having examined 76 courses on the xuetangX platform. More specifically, we found that in many courses the learning coverage - one of the metrics used to estimate the learners' active engagement with the online courses - observes a Zipf distribution. We apply the maximum likelihood estimation method to fit the Zipf's law and test our hypothesis using a chi-square test. The result from our study is expected to bring insight to the unique learning behavior on MOOC and thus help improve the effectiveness of MOOC learning platforms and the design of courses.",,978-1-5090-3619-6,10.1109/ICBDA.2017.8078713,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8078713,MOOC;learning coverage;maximum likelihood estimation;Zipf distribution,Maximum likelihood estimation;Education;Computer science;Feature extraction,computer aided instruction;educational courses;maximum likelihood estimation,learning coverage;Zipf distribution;Massive Open Online Courses;maximum likelihood estimation;Zipf law;learning behavior,,,,27,,23-Oct-17,,,IEEE,IEEE Conferences
"The Influence of Grades on Learning Behavior in MOOCs: Certification vs, Continued Participation",L. Wang; E. Hemberg; U. -M. O’Reilly,"MIT CSAIL,Cambridge,MA,USA; MIT CSAIL,Cambridge,MA,USA; MIT CSAIL,Cambridge,MA,USA",2019 IEEE Learning With MOOCS (LWMOOCS),27-Dec-19,2019,,,122,127,"MOOCs (massive open online courses) often use comprehensive exams and homework problem sets to assess students in their overall understanding of course material. The grades students receive on these tests and assignments determine whether they complete or become certified in course material. However, beyond receiving a certification, how do grades impact the learning behavior in students? Do students who receive poor grades actively change their overall activity to improve their grades? To better understand the impact of grades, we observe overall student activity on two MITx MOOCs for certified students and students who continuously participate in MOOC assignments. We use click stream data to compile the overall activity of a student and we use points earned divided by total possible points to calculate the students' grades. We observe that students with the highest levels of activity have some of the highest grades. We also observe that the difference in activity before and after the finalization of a grade (delta-activity) have greater variation as grade increases. Finally, we observe very little changes in grades (delta-grade) for certified students when visualized against delta-activity and that continuously participating students have greater grade changes compared to certified students.",,978-1-7281-2549-7,10.1109/LWMOOCS47620.2019.8939614,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939614,MOOCs;data analysis;grades;student behavior;feedback,Computer aided instruction;Electronic learning;Correlation;Certification,computer aided instruction;educational courses;Internet,learning behavior;massive open online courses;course material;certified students;MOOC assignments;continuously participating students;student grade;continued participation;certification,,,,7,,27-Dec-19,,,IEEE,IEEE Conferences
Rise of Massive Open Online Courses,M. Abedi; A. Beikverdi,"Faculty of Computing and Informatics Multimedia University, Cyberjaya 63100 Selangor, Malaysia; Faculty of Computing and Informatics Multimedia University, Cyberjaya 63100 Selangor, Malaysia",2012 4th International Congress on Engineering Education,27-Mar-14,2012,,,1,4,"With the emergence of online education, there comes a need for a dedicated method to efficiently introduce the available content to learners. Massive Open Online Courses (MOOCs) attempt to achieve this feat by taking the class experience, as it is, online. These special types of learning courses have boomed vastly in the past year, triggered by an Artificial Intelligence course offering of Stanford fellows Sebastian Thrun and Peter Norvig. MOOC is different in the aspect that they generally have deadlines and provide certificates of accomplishments. Homework assignment deadlines are mostly weekly on the topics taught in a given week. In this paper, the major MOOC organizations are introduced and their track is discussed.",,978-1-4673-4868-3,10.1109/ICEED.2012.6779278,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779278,MOOC;Online Higher Education,Educational institutions;Logic gates;Blogs;Computer science;Artificial intelligence;Fellows,artificial intelligence;computer science education;courseware;educational courses;further education,massive open online courses;online education;class experience;learning courses;artificial intelligence course;MOOC organizations,,6,,17,,27-Mar-14,,,IEEE,IEEE Conferences
From learning to e-learning to m-learning to c-learning to …?,J. Henno; H. Jaakkola; J. Mäkelä,"Tallinn University of Technology, Estonia; Tampere University of Technology, Pori; University of Lapland, Rovaniemi, Finland","2014 37th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)",24-Jul-14,2014,,,616,622,"Need for Higher Education is growing rapidly-by 2020 two thirds of all jobs will require postsecondary education [1]. The current higher education system cannot satisfy this need in many fields, e.g. Gartner predicts, that already in 2015 only a third of jobs for big data analysts can be filled [2]. The rapid development of Information and Communication Technology (ITC, IT) has changed many aspects of teaching and learning. Educational materials are moving into cloud(s) and degrees are given on-line (`Master's Degree Online Directory' lists over 90,000 programs [3]), old-fashioned Colleges and Universities with large campus, staff and high costs are getting more and more competition from numerous educational entrepreneurs, who start massive open online courses (MOOC) with millions of users/students from all around the world; they establish new on-line universities where costs of obtaining a degree are marginal compared to `brick-and-mortal' universities and which are open to nearly everyone independent of user geographical location. Until now MOOC have not yet proved their value-less than 4% of enrollees complete the courses [4] and they do not receive (yet) university diploma. But the World most prestigious technical university, MIT, has already set up a certification system - students who can master the subjects taught in MOOC receive an official certificate of completion [5]. Although these certificates will not carry the weight of a traditional MIT diploma (they will be issued by started by MIT online learning initiative called MITx), but the word `MIT' alone carries a weight. When speaking about possibilities of IT in education most speakers/writers are excitedly discussing technology-servers, communication lines, bandwidth, security (preferably all in thick cloud of technical jargon). Nearly nobody presents practical experience, suggestions and/or theories about how to teach with this new technology in order best to utilize its possibilities. The `education in the cloud' mainly consists of video clips trying to repeat the classroom experience: recorded before the old-fashioned blackboard (only nowadays it is white), where professor is presenting the same lecture what he presented in lecture hall, only now lectures are cut into 5-10 min video clips - the `mobile approach'. Is this why the old lecture halls are still needed? Rapidly increasing costs of University Education, increasing competition of educational entrepreneurs and constant increase of population of working students have made clear, that both sides of University education - teaching/learning and accrediting, giving diplomas need changes. University Education should more take into account students informal and non-formal learning, their participation in professional work - both in organization of study and in certification. In the following are considered several aspects of current situation, presented practices which authors use when teaching IT students and examined possible changes in universities teaching and certification methods.",,978-953-233-077-9,10.1109/MIPRO.2014.6859641,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6859641,,Educational institutions;Materials;Computers;Tutorials;Three-dimensional displays;Clouds,certification;cloud computing;computer aided instruction;educational institutions;further education;mobile computing;teaching,e-learning;m-learning;c-learning;postsecondary education;higher education system;information and communication technology;ITC;educational materials;old-fashioned colleges;educational entrepreneurs;massive open online courses;MOOC;online universities;technical university;certification system;MIT diploma;technology-servers;communication lines;security;education in the cloud;video clips;mobile approach;university education;informal learning;nonformal learning;professional work;IT student teaching,,3,,67,,24-Jul-14,,,IEEE,IEEE Conferences
Using animation to develop a MOOC on Information Security,C. H. Au; K. C. S. Lam; W. S. L. Fung; X. Xu,"Department of Decision Sciences and Managerial Economics, The Chinese University of Hong Kong, Hong Kong; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; Department of Management and Marketing, The Hong Kong Polytechnic University, Hong Kong",2016 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),29-Dec-16,2016,,,365,369,"This is a set of research exploring using animation in the Massive Open Online Course (MOOC) / Small Private Online Course (SPOC) for learning information security. We established an Information Security SPOC course, with animations made of GoAnimate for learning. The course content was largely based on the standard of the Certified Information Systems Auditor (CISA) from Information Systems Audit and Control Association (ISACA). After completing the course, the students were asked to complete a questionnaire related to their learning experience, with questions to measure the satisfaction of the course and the animation, and their further comments. 128 students provided their feedback. We analyzed the relationship between the satisfaction of the course content, animation clips and intention of using MOOC / SPOC in the future. We also generate a concept map by text-mining from the feedback of the open-ended question.",2157-362X,978-1-5090-3665-3,10.1109/IEEM.2016.7797898,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7797898,MOOC;Information Security training;e-learning;animation;text-mining,Animation;Information security;Correlation;Training;Absorption,computer aided instruction;computer animation;data mining;educational courses;security of data;text analysis,MOOC;massive open online course;small private online course;information security SPOC course;information security learning;GoAnimate;Certified Information Systems Auditor;CISA;Information Systems Audit and Control Association;ISACA;course satisfaction measurement;course content;animation clips;concept map generation;text-mining;open-ended question feedback,,2,,29,,29-Dec-16,,,IEEE,IEEE Conferences
A service science context in education driven by disruptive innovation and the Internet of Things,S. Farrell; A. Rucinski,"IFEES & ASEE & Rowan University, USA; ISSIP & University of New Hampshire. USA",2013 International Conference on Interactive Collaborative Learning (ICL),24-Oct-13,2013,,,377,378,"Summary form only given. Global Engineering is the last frontier in education. It creates a dilemma of providing engineering education anywhere in the World, preserving local cultural values, and applying it anywhere around the Globe. A recent Singapore Declaration [ASEE Global Forum, 2009], and consecutive World Engineering Education Forums, [1] paved the roadmap towards Global Engineering calling for practical solutions to implement the vision of a global engineer. In response to these challenges, several “disruptive innovation” [Christensen, 1995] solutions such as Massive Open Online Courses (MOOC) and Massive Open Online Laboratories (MOOL) have been introduced including the one based on the Internet of Things (IOT) and disruptive microelectronics [2]. Disruptive Microelectronics which includes embedded systems, Application Specific Integrated Circuits (ASIC), Field Programmable Gate Arrays (FPGA), and Programmable Systems On a Chip (PSOC), is one of excellent case studies of disruptive technologies (or disruptive innovation) which is defined as an innovation that helps create a new market and value network, and eventually goes on to disrupt an existing market and value network (over a few years or decades), displacing an earlier technology. The Internet of Things is the next generation of the Internet connecting objects, not just people. Since the ultimate goal is to produce new industries globally, understanding, measuring, evaluating, and preserving the integrity of global engineering becomes fundamental. The latter is proposed to be addressed by Quality Assessment (QA) of emerging global engineering curricula and scholars involved in teaching of global engineering. For example, International Society for Engineering Education (IGIP) is one of the leaders providing international certification of scholars and one of the frontrunners in fostering engineering on line, critical for global engineering. The overall process of global engineering education addressing essential skills for engineers from any country to be competitive in an international market for engineering knowhow, with skills not longer limited to cultural sensitivity needed only for product design destined for diverse markets can be superbly captured by Service Science [Spohrer, 2008]. Service science is an interdisciplinary paradigm to the study, design, and implementation of complex systems in which specific arrangements of people and technologies take actions that provide value for others [3]. It is also a proposed academic discipline and research area that would complement multiplicity of disciplines that contribute to knowledge about service.",,978-1-4799-0153-1,10.1109/ICL.2013.6644604,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6644604,,Engineering education;Internet;Certification;Technological innovation;Conferences;Educational institutions,computer aided instruction;engineering computing;engineering education;Internet of Things;teaching,service science context;disruptive innovation;Internet of Things;global engineering education;Singapore Declaration;World Engineering Education Forums;massive open online courses;MOOC;massive open online laboratories;MOOL;disruptive microelectronics;embedded systems;application specific integrated circuits;ASIC;field programmable gate arrays;FPGA;programmable systems-on-a-chip;PSOC;disruptive technologies;quality assessment;teaching;International Society for Engineering Education;IGIP;service science;modified T-Shape diagram;online engineering;global engineering solution;disruptive education;Web of Objects;IGIP system;IGIP ING PAED Certification;pedagogical expertise;Indo-US Collaboration for Engineering Education;Kazakhstan-Indo-US Collaboration for Engineering Education;Latin America - The Latin American and Caribbean Consortium of Engineering Institutions;IGIP curriculum,,2,,5,,24-Oct-13,,,IEEE,IEEE Conferences
"No university credit, no problem? Exploring recognition of non-formal learning",W. Jobe,"Department of Computer and System Sciences, Stockholm University, Stockholm, Sweden",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,19-Feb-15,2014,,,1,7,"Massive Open Online Courses (MOOCs) are disrupting traditional, higher education and redefining how learning takes place online. These open courses typically offer some form of recognition, such as a certificate of completion and/or digital badge, to recognize, validate, and in some cases even accredit learning. A general problem with MOOCs is the uncertainty regarding the use and goals of recognition, validation, and accreditation (RVA), and participants' acceptance and perception of such techniques. This research effort addresses this problem by exploring course participants' attitudes and levels of acceptance of non-formal learning recognition compared to traditional university credit in both developed and developing countries. The actual study uses both certificates of completion and digital badges to recognize and validate learning in an introductory, university level course in web programming using HTML5/CSS. The course is available to anyone, but was specifically marketed to participants from Sweden and Kenya. Empirical data was gathered using interviews and online surveys in the course. The preliminary results are that participants from developing countries value digital recognition to a greater extent than their counterparts in Europe. However, both Swedes and Kenyans see open courses with digital recognition as a complement to traditional learning to individually construct an education.",2377-634X,978-1-4799-3922-0,10.1109/FIE.2014.7044389,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044389,non-formal learning;learning recognition;digital badges;MOOCs,Educational institutions;Cascading style sheets;Interviews;Accreditation;Programming profession,computer aided instruction;educational courses;Internet,university credit;massive open online courses;MOOC;digital badge;RVA;nonformal learning recognition;university level course;Web programming;HTML5/CSS;digital recognition,,5,,36,,19-Feb-15,,,IEEE,IEEE Conferences
