Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Exploring N-gram Features in Clickstream Data for MOOC Learning Achievement Prediction,Database Systems for Advanced Applications,,,,10.1007/978-3-319-55705-2_26,Xiao LiTing WangHuaimin Wang,2017,http://link.springer.com/chapter/10.1007/978-3-319-55705-2_26,Conference Paper
Communication at Scale in a MOOC Using Predictive Engagement Analytics,Artificial Intelligence in Education,,,,10.1007/978-3-319-93843-1_18,Christopher V. LeZachary A. PardosSamuel D. MeyerRachel Thorp,2018,http://link.springer.com/chapter/10.1007/978-3-319-93843-1_18,Conference Paper
Early Prediction and Variable Importance of Certificate Accomplishment in a MOOC,Digital Education: Out to the World and Back to the Campus,,,,10.1007/978-3-319-59044-8_31,José A. Ruipérez-ValienteRuth CobosPedro J. Muñoz-MerinoÁlvaro AndujarCarlos Delgado Kloos,2017,http://link.springer.com/chapter/10.1007/978-3-319-59044-8_31,Conference Paper
Predicting Certification in MOOCs Based on Students’ Weekly Activities,Intelligent Tutoring Systems,,,,10.1007/978-3-030-80421-3_20,Mohammad AlshehriAhmed AlamriAlexandra I. Cristea,2021,http://link.springer.com/chapter/10.1007/978-3-030-80421-3_20,Conference Paper
Visualizing MOOC User Behaviors: A Case Study on XuetangX,Intelligent Data Engineering and Automated Learning – IDEAL 2016,,,,10.1007/978-3-319-46257-8_10,Tiantian ZhangBo Yuan,2016,http://link.springer.com/chapter/10.1007/978-3-319-46257-8_10,Conference Paper
MOOC Camp: A Flipped Classroom and Blended Learning Model,Information and Communication Technologies in Tourism 2016,,,,10.1007/978-3-319-28231-2_47,Jamie MurphyJ. Bruce TraceyLaurel Horton-Tognazzini,2016,http://link.springer.com/chapter/10.1007/978-3-319-28231-2_47,Conference Paper
A Modern Approach to MOOC Recommender Systems Using ICT Job Classification,Advances in Information and Communication,,,,10.1007/978-3-030-73103-8_60,Sergey AvdoshinElena PesotskayaDivani Kuruppuge,2021,http://link.springer.com/chapter/10.1007/978-3-030-73103-8_60,Conference Paper
Markov Decision Process for MOOC Users Behavioral Inference,Digital Education: At the MOOC Crossroads Where the Interests of Academia and Business Converge,,,,10.1007/978-3-030-19875-6_9,Firas JarbouiCélya Gruson-DanielAlain DurmusVincent RocchisaniSophie-Helene Goulet EbongueAnneliese DepouxWilfried KirschenmannVianney Perchet,2019,http://link.springer.com/chapter/10.1007/978-3-030-19875-6_9,Conference Paper
MOOCs: What Motivates the Producers and Participants?,Computer Supported Education,,,,10.1007/978-3-319-25768-6_7,Su WhiteHugh DavisKate DickensManuel LeónMa Mar Sánchez-Vera,2015,http://link.springer.com/chapter/10.1007/978-3-319-25768-6_7,Conference Paper
Prediction and Learning Analysis Using Ensemble Classifier Based on GA in SPOC Experiments,Data Mining and Big Data,,,,10.1007/978-3-319-93803-5_32,Jia-Lian LiShu-Tong XieJun-Neng WangYu-Qing LinQiong Chen,2018,http://link.springer.com/chapter/10.1007/978-3-319-93803-5_32,Conference Paper
Engagement Measures in Massive Open Online Courses,Learning Technology for Education in Cloud,,,,10.1007/978-3-319-22629-3_1,Jane SinclairSara Kalvala,2015,http://link.springer.com/chapter/10.1007/978-3-319-22629-3_1,Conference Paper
A Data-Driven Student Model to Provide Adaptive Support During Video Watching Across MOOCs,Artificial Intelligence in Education,,,,10.1007/978-3-030-52237-7_23,Sébastien LalléCristina Conati,2020,http://link.springer.com/chapter/10.1007/978-3-030-52237-7_23,Conference Paper
An Experience Using Educational Data Mining and Machine Learning Towards a Full Engagement Educational Framework,Learning Technology for Education Challenges,,,,10.1007/978-3-319-95522-3_20,Héctor R. Amado-SalvatierraRocael Hernández Rizzardini,2018,http://link.springer.com/chapter/10.1007/978-3-319-95522-3_20,Conference Paper
When Learning Analytics Meets MOOCs - a Review on iMooX Case Studies,Innovations for Community Services,,,,10.1007/978-3-319-49466-1_1,Mohammad KhalilMartin Ebner,2016,http://link.springer.com/chapter/10.1007/978-3-319-49466-1_1,Conference Paper
