source,Item type,Authors,Title,Publication year,Abstract,URLs,Proceedings title,Series,,,,
ACM,Conference Paper,"Rohloff T,Sauer D,Meinel C",Students' Achievement of Personalized Learning Objectives in MOOCs,2020,"Massive Open Online Courses (MOOCs) provide the opportunity to offer free and open education at scale. Thousands of students with different social and cultural backgrounds from all over the world can enroll for a course. This diverse audience comes with varying motivations and intentions from their personal or professional life. However, course instructors cannot offer individual support and guidance at this scale and therefore usually provide a one-size-fits-all approach. Students have to follow weekly-structured courses and their success is measured with the achievement of a certificate at the end. To better address the varying learning needs, technical support for goal-oriented and self-regulated learning is desired but very limited to date. Both learning strategies are proven to be key factors for students' achievement in large-scale online learning environments. Therefore, this paper presents a continuative study of personalized learning objectives in MOOCs to encourage goal-oriented and self-regulated learning. Based on the previously well-perceived acceptance and usefulness of the concept of personalized learning objectives, this study examines which learners select an objective and how successful they complete objectives. Concerning the learners' socio-demographic and geographical background, we could not identify any practical significant difference between students with selected learning objectives and the total course population. However, we have identified promising objective achievement rates, and we have observed a practical significant improvement of the certification rates comparing the total course population and students who selected an objective that included a graded certificate. This has also demonstrated a method for calculating more reasonable completion rates in MOOCs.",https://doi.org/10.1145/3386527.3405918;http://dx.doi.org/10.1145/3386527.3405918,Proceedings of the Seventh ACM Conference on Learning @ Scale,L@S '20,,,,
ACM,Conference Paper,"Ilham D,Mostafa E,Mohamed K",Towards a New Approach to Reduce the Dropout Rate in E-Learning,2020,"MOOCs are currently facing a major problem, namely the decrease in the rate of certified at the end of a MOOC. The main cause of this problem is due to the difficulty of detecting user behaviors in the platform which does not help tutors in their follow-up and their educational supervision of learners as well as to interact easily with them.In this work, to solve this problem we will propose an information system capable of automatically analyzing and detecting the behavior of users who follow a distance training and subsequently, to classify their profiles according to predefined parameters to facilitate teachers choose courses and activities based on the behavior of each user.",https://doi.org/10.1145/3386723.3387846;http://dx.doi.org/10.1145/3386723.3387846,"Proceedings of the 3rd International Conference on Networking, Information Systems & Security",NISS2020,,,,
ACM,Conference Paper,"Littenberg-Tobias J,Ruipérez-Valiente JA,Reich J",Impact of Free-Certificate Coupons on Learner Behavior in Online Courses: Results from Two Case Studies,2019,"The relationship between pricing and learning behavior is an increasingly important topic in MOOC (massive open online course) research. We report on two case studies where cohorts of learners were offered coupons for free-certificates to explore price reductions might influence user behavior in MOOC-based online learning settings. In Case Study #1, we compare participation and certification rates between courses with and without coupons for free-certificates. In the courses with a free-certificate track, participants signed up for the verified certificate track at higher rates and completion rates among verified students were higher than in the paid-certificate track courses. In Case Study #2, we compare the behaviors of learners within the same courses based on whether they received access to a free-certificate track. Access to free-certificates was associated with somewhat lower certification rates, but overall certification rates remained high particularly among those who viewed the courses. These findings suggests that some other incentives, other than simply the sunk-cost of paying for a verified certificate-track, may motivate learners to complete MOOC courses.",https://doi.org/10.1145/3330430.3333654;http://dx.doi.org/10.1145/3330430.3333654,Proceedings of the Sixth (2019) ACM Conference on Learning @ Scale,L@S '19,,,,
ACM,Conference Paper,"Wang L,Hemberg E,O'Reilly UM",On the Influence of Grades on Learning Behavior of Students in MOOCs,2019,"MOOCs (Massive Open Online Courses) frequently use grades to calculate whether a student passes the course. To better understand how student behavior is influenced by grade feedback, we conduct a study on the changes of certified students' behavior before and after they have received their grade. We use observational student data from two MITx MOOCs to examine student behavior before and after a grade is released and calculate the difference (the delta-activity). We then analyze the changes in the delta-activity distributions across all graded assignments a we observe that the variation in delta-activity decreases as grade decreases, with students who have the lowest grade exhibiting little or no change in weekly activity. This trend persists throughout each course, in all course offerings, suggesting that a change in grade does not correlate with a change in the behavior of certified MOOC students.",https://doi.org/10.1145/3330430.3333652;http://dx.doi.org/10.1145/3330430.3333652,Proceedings of the Sixth (2019) ACM Conference on Learning @ Scale,L@S '19,,,,
ACM,Conference Paper,"Bajwa A,Hemberg E,Bell A,O'Reilly UM",Student Code Trajectories in an Introductory Programming MOOC,2019,"In classrooms, instructors teaching students how to code have the ability to monitor progress and provide feedback through regular interaction. There is generally no analogous tracing of learning progression in programming MOOCs, hindering the ability of MOOC platforms to provide automated feedback at scale. We explore features for every certified student's history of code submissions to specific problems in a programming MOOC and measure similarity to sample solutions. We seek to understand whether students who succeed in the course reach solutions similar to these instructor-intended sample solutions, in terms of the concepts and mechanisms they contain. Furthermore, do students learn to conform to instructor expectations as the course progresses, and does prior experience have correlations with student behavior? We also explore what feature representations are sufficient for code submission history, since they are directly applicable to the development of automated tutors for progress tracking.",https://doi.org/10.1145/3330430.3333646;http://dx.doi.org/10.1145/3330430.3333646,Proceedings of the Sixth (2019) ACM Conference on Learning @ Scale,L@S '19,,,,
ACM,Conference Paper,"Rohloff T,Sauer D,Meinel C",On the Acceptance and Usefulness of Personalized Learning Objectives in MOOCs,2019,"With Massive Open Online Courses (MOOCs) the number of people having access to higher education increased rapidly. The intentions to enroll for a specific course vary significantly and depend on one's professional or personal learning needs and interests. All learners have in common that they pursue their individual learning objectives. However, predominant MOOC platforms follow a one-size-fits-all approach and primarily aim for completion with certification. Specifically, technical support for goal-oriented and self-regulated learning to date is very limited in this context although both learning strategies are proven to be key factors for students' achievement in large-scale online learning environments. In this first investigation, a concept for the application and technical integration of personalized learning objectives in a MOOC platform is realized and assessed. It is evaluated with a mixed-method approach. First, the learners' acceptance is examined with a multivariate A/B test in two courses. Second, a survey was conducted to gather further feed-back about the perceived usefulness, next to the acceptance. The results show a positive perception by the learners, which paves the way for future research.",https://doi.org/10.1145/3330430.3333624;http://dx.doi.org/10.1145/3330430.3333624,Proceedings of the Sixth (2019) ACM Conference on Learning @ Scale,L@S '19,,,,
ACM,Conference Paper,"Zarra T,Chiheb R,Faizi R,El Afia A",MOOCs' Recommendation Based on Forum Latent Dirichlet Allocation,2018,"Open to all, easy enrollment process and free admission make the MOOCs (Massive Open Online Course) attract a large number of learners, but few of them finish their courses and eventually obtain their certification. Several proposals are discussed, but as long as the economic model of MOOCs isn't well defined yet, certain institutions and companies keep attracting more learners to enroll and stay in their MOOCs without considering their prerequisites and needs. The aim of our contribution is to recommend enrollment in the MOOCs primarily to learners who have expressed a need or a gap and having prerequisites (i.e. in discussion forums); using LDA Topic Modeling on their shared texts we group the learners according to similar needs and interests, in order to propose for them a useful MOOC.",https://doi.org/10.1145/3289100.3289115;http://dx.doi.org/10.1145/3289100.3289115,Proceedings of the 2nd International Conference on Smart Digital Environment,ICSDE'18,,,,
ACM,Conference Paper,"Cooper M,Zhao J,Bhatt C,Shamma DA",MOOCex: Exploring Educational Video via Recommendation,2018,"Massive Open Online Course (MOOC) platforms have scaled online education to unprecedented enrollments, but remain limited by their predetermined curricula. Increasingly, professionals consume this content to augment or update specific skills rather than complete degree or certification programs. To better address the needs of this emergent user population, we describe a visual recommender system called MOOCex. The system recommends lecture videos across multiple courses and content platforms to provide a choice of perspectives on topics of interest. The recommendation engine considers both video content and sequential inter-topic relationships mined from course syllabi. Furthermore, it allows for interactive visual exploration of the semantic space of recommendations within a learner's current context.",https://doi.org/10.1145/3206025.3206087;http://dx.doi.org/10.1145/3206025.3206087,Proceedings of the 2018 ACM on International Conference on Multimedia Retrieval,ICMR '18,,,,
ACM,Conference Paper,Turrin R,Personalization Challenges in E-Learning,2017,"Online learning is a hot trend in the education industry, as testified by the proliferation of e-learning platforms and MOOCs on a huge variety of topics, from science and technology to foreign language learning and musical instruments playing.In this talk we will present some of the common challenges in the e-learning industry that we are personally facing at Cloud Academy, an on-line continuous training platform for Cloud technologies.First, the nature of recommendation objects is quite diversified. Typically an e-learning platform comprises several content types, such as video lessons, reading material, quizzes, practical exercises (e.g., hands-on laboratories), etc. Also, they can be organized into composite objects, such as whole courses (groups of lessons) or exams (topic-specific quizzes and exercises).Signals are very heterogeneous, too. Users can trigger all sorts of events while interacting with the learning platform, such as time spent on a given lesson video, outcome of a quiz or a test after a specific number of attempts, natural language feedback, etc. Such variety can be an important and comprehensive source of information but it must be normalized and handled within an appropriate common framework.The objectives of recommendation in e-learning differ from the case of more well-established targets. Although enjoyment remains a driving force (e.g., proposing new interesting courses to an old user), the focus is on learning specific skills or topics for specific goals. In this scenario, recommendation seeks to suggest the new best lesson, exercise, or course to acquire the desired skill while keeping the user engaged, assembling a personalized study path in the process. The pace of the learning activity must be tailored on the user's needs and commitments, like deadlines (e.g., the user plans to get a certification by a certain date), specific goals (e.g., objectives of an employee might be defined by the user's manager) or learning prerequisites (e.g., a course can be consumed only after the student has acquired the needed knowledge, either via other more basic courses or pre-existing skills).Consequently, recommendations must take into account the initial user skills and knowledge as well as her learning objectives (e.g., improving the skills of a non-beginner student requires recommending more advanced material). Transparency plays an important role in the e-learning domain as users are willing to continuously monitor and inspect their progress and understand which training resources better fit their learning goals.Finally, the online learning environment can be made even more complex by \",https://doi.org/10.1145/3109859.3109927;http://dx.doi.org/10.1145/3109859.3109927,Proceedings of the Eleventh ACM Conference on Recommender Systems," such as virtual classes of multiple users, a context that recommender systems both can exploit and need to take into account.","on-line training, on-line learning, moocs, recommender systems, education",RecSys '17,,
ACM,Conference Paper,"Kay JS,Nolan TJ,Grello TM",The Distributed Esteemed Endorser Review: A Novel Approach to Participant Assessment in MOOCs,2016,"One of the most challenging aspects of developing a Massive Open Online Course (MOOC) is designing an accurate method to effectively assess participant knowledge and skills. The Distributed Esteemed Endorser Review (DEER) approach has been developed as an alternative for those MOOCs where traditional approaches to assessment are not appropriate. In DEER, course projects are certified in-person by an \",https://doi.org/10.1145/2876034.2893396;http://dx.doi.org/10.1145/2876034.2893396,Proceedings of the Third (2016) ACM Conference on Learning @ Scale,", an individual who is typically senior in rank to the student, but is not necessarily an expert in the course content. Not only does DEER provide a means to certify that course goals have been met, it also provides MOOC participants with the opportunity to share information about what they have learned with others at the local level.","mooc, deer, esteemed endorser, assessment, educational robotics, robot programming",L@S '16,,
ACM,Conference Paper,"Mullaney T,Reich J",Staggered Versus All-At-Once Content Release in Massive Open Online Courses: Evaluating a Natural Experiment,2015,"We report on an experiment testing the effects of releasing all of the content in a Massive Open Online Course (MOOC) at launch versus in a staggered release. In 2013, HarvardX offered two \",https://doi.org/10.1145/2724660.2724663;http://dx.doi.org/10.1145/2724660.2724663,Proceedings of the Second (2015) ACM Conference on Learning @ Scale," of the HeroesX course: In the first, content was released weekly over four months; in the second, all content was released at once. We develop three operationalizations of \",ontrackness\," to measure how students participated in sync with the recommended syllabus. Ontrackness in both versions was low, though in the second, mean ontrackness was approximately one-half of levels in the first HeroesX. We find few differences in persistence, participation, and completion between the two runs. Controlling for a students' number of active weeks, we estimate modest positive effects of ontrackness on certification. The revealed preferences of students for flexibility and the minimal benefits of ontrackness suggest that releasing content all at once may be a viable strategy for MOOC designers.","synchronicity, natural experiment, moocs, ontrackness",L@S '15
ACM,Conference Paper,"Li X,Chang KM,Yuan Y,Hauptmann A",Massive Open Online Proctor: Protecting the Credibility of MOOCs Certificates,2015,"Massive Open Online Courses (MOOCs) enable everyone to receive high-quality education. However, current MOOC creators cannot provide an effective, economical, and scalable method to detect cheating on tests, which would be required for any certification. In this paper, we propose a Massive Open Online Proctoring (MOOP) framework, which combines both automatic and collaborative approaches to detect cheating behaviors in online tests. The MOOP framework consists of three major components: Automatic Cheating Detector (ACD), Peer Cheating Detector (PCD), and Final Review Committee (FRC). ACD uses webcam video or other sensors to monitor students and automatically flag suspected cheating behavior. Ambiguous cases are then sent to the PCD, where students peer-review flagged webcam video to confirm suspicious cheating behaviors. Finally, the list of suspicious cheating behaviors is sent to the FRC to make the final punishing decision. Our experiment show that ACD and PCD can detect usage of a cheat sheet with good accuracy and can reduce the overall human resources required to monitor MOOCs for cheating.",https://doi.org/10.1145/2675133.2675245;http://dx.doi.org/10.1145/2675133.2675245,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing,CSCW '15,,,,
ACM,Conference Paper,"Alario-Hoyos C,Pérez-Sanagustín M,Kloos CD,Muñoz-Merino PJ",Recommendations for the Design and Deployment of MOOCs: Insights about the MOOC Digital Education of the Future Deployed in MiríAdaX,2014,"This paper reports the insights of the experience of designing and deploying the MOOC Digital Education of the Future, which was deployed in the platform MiríadaX in early 2013. This MOOC was delivered by several professors from the Universidad Carlos III de Madrid and was supported by several external social tools that promoted the creation of a community of learners as part of it. The contribution of this study is a list of insights and recommendations about both the design and deployment of MOOCs. These insights and recommendations are built upon those presented in previous works by the authors. The design recommendations include information about the overall course structure, the assessment activities, the certification of the course, and the use of complementary social tools. The deployment recommendations mainly focus on the role of the teaching staff when running the course and on the importance of social tools and communication tools as a mechanism for participant engagement throughout the course. These recommendations aim to be useful for other practitioners, instructional designers and policy makers addressing the challenge of designing and deploying a MOOC from scratch.",https://doi.org/10.1145/2669711.2669931;http://dx.doi.org/10.1145/2669711.2669931,Proceedings of the Second International Conference on Technological Ecosystems for Enhancing Multiculturality,TEEM '14,,,,
